,class,category
0,6,trade
1,4,grain
2,4,"crude,nat-gas"
3,5,"corn,grain,rice,rubber,sugar,tin,trade"
4,4,"palm-oil,veg-oil"
5,4,ship
6,4,"coffee,lumber,palm-oil,rubber,veg-oil"
7,4,"grain,wheat"
8,4,gold
9,4,acq
10,4,tin
11,4,"interest,money-fx"
12,2,"acq,copper"
13,5,ipi
14,6,"carcass,corn,grain,livestock,oilseed,rice,soybean,trade"
15,0,earn
16,4,earn
17,4,"interest,money-fx"
18,4,"bop,trade"
19,4,"gas,lead"
20,4,acq
21,4,jobs
22,4,earn
23,4,earn
24,1,earn
25,1,earn
26,4,tin
27,6,trade
28,5,zinc
29,3,sugar
30,3,sugar
31,4,acq
32,4,"interest,money-fx"
33,4,"cpi,gnp"
34,4,"oilseed,palm-oil,soy-oil,soybean,veg-oil"
35,0,earn
36,4,acq
37,4,earn
38,6,trade
39,4,acq
40,4,acq
41,0,earn
42,6,trade
43,4,"dlr,money-fx,yen"
44,4,cpi
45,4,"interest,money-fx"
46,4,acq
47,3,sugar
48,3,sugar
49,4,earn
50,4,nickel
51,4,earn
52,4,"dlr,money-fx"
53,7,acq
54,5,earn
55,2,earn
56,4,acq
57,2,acq
58,2,acq
59,6,groundnut
60,7,earn
61,4,ship
62,7,earn
63,4,ship
64,2,earn
65,7,earn
66,1,earn
67,4,"interest,money-fx"
68,2,earn
69,5,earn
70,4,earn
71,4,earn
72,7,earn
73,2,earn
74,4,jobs
75,5,earn
76,7,acq
77,2,earn
78,4,acq
79,1,earn
80,5,earn
81,7,earn
82,3,sugar
83,4,money-fx
84,3,sugar
85,5,earn
86,1,earn
87,7,earn
88,4,earn
89,2,acq
90,4,earn
91,4,acq
92,5,earn
93,7,earn
94,4,earn
95,4,earn
96,3,sugar
97,7,earn
98,3,sugar
99,4,earn
